year, rcp85_weighted_mean
2005,0
2006,0
2007,0
2008,0.9
2009,0
2010,0
2011,0.1
2012,0.1
2013,0
2014,0
2015,0
2016,0.1
2017,0.1
2018,0
2019,0.2
2020,0.3
2021,0
2022,0.1
2023,0.2
2024,0
2025,0.1
2026,0.3
2027,0
2028,0.1
2029,0.1
2030,0.2
2031,0.1
2032,0.1
2033,1
2034,0.3
2035,0.1
2036,0.4
2037,0.3
2038,0.2
2039,0.6
2040,0.4
2041,1
2042,1.1
2043,1.2
2044,0.7
2045,1.7
2046,1.3
2047,0.5
2048,1.9
2049,2
2050,0.8
2051,1.6
2052,2.2
2053,0.8
2054,2.4
2055,1.2
2056,2.8
2057,1.8
2058,2.6
2059,2.7
2060,2.4
2061,2.4
2062,2.9
2063,2.8
2064,4.6
2065,3.1
2066,4.3
2067,2.8
2068,3.7
2069,4.4
2070,4.4
2071,5.3
2072,6.6
2073,8
2074,5.8
2075,6.9
2076,8.2
2077,7
2078,5.4
2079,5.4
2080,6.8
2081,9.1
2082,5.9
2083,10.6
2084,9.3
2085,10.2
2086,8.6
2087,9.3
2088,12.5
2089,9.9
2090,14.1
2091,9.1
2092,10
2093,13
2094,17.4
2095,14.9
2096,17
2097,14.6
2098,13.3
2099,15.9
