year, rcp85_weighted_mean
2005,73.4
2006,73.3
2007,73.3
2008,73.7
2009,73
2010,73.5
2011,73.6
2012,74.1
2013,73.7
2014,73.6
2015,73.5
2016,73.4
2017,73.7
2018,74.3
2019,74.5
2020,74
2021,73.9
2022,74.3
2023,74.7
2024,74.6
2025,74.7
2026,74.5
2027,74.4
2028,74.5
2029,74.7
2030,74.8
2031,75.1
2032,75
2033,75.4
2034,75
2035,75.4
2036,75.4
2037,75.1
2038,75.5
2039,75.7
2040,75.9
2041,75.6
2042,76.4
2043,76.1
2044,76.1
2045,76.4
2046,76.2
2047,76.4
2048,76.5
2049,76.9
2050,76.7
2051,76.7
2052,76.8
2053,76.8
2054,77.4
2055,76.9
2056,77.5
2057,77.3
2058,77.8
2059,77.9
2060,77.8
2061,77.9
2062,78
2063,77.9
2064,78.3
2065,78.1
2066,78.5
2067,77.9
2068,78.9
2069,78.6
2070,79.1
2071,78.7
2072,79.1
2073,79.2
2074,79.3
2075,79.1
2076,79.3
2077,79.4
2078,79.5
2079,79.7
2080,79.7
2081,80.2
2082,79.7
2083,79.9
2084,79.9
2085,80.2
2086,80.3
2087,80.5
2088,80.6
2089,80.5
2090,80.9
2091,80.9
2092,80.9
2093,81.1
2094,81.6
2095,81.1
2096,81.5
2097,81.3
2098,81.5
2099,82
