year, rcp85_weighted_mean
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0.1
2025,0
2026,0
2027,0.1
2028,0
2029,0.1
2030,0
2031,0.1
2032,0
2033,0
2034,0.1
2035,0.3
2036,0.1
2037,0.1
2038,0.1
2039,0.1
2040,0.1
2041,0.2
2042,0.1
2043,0.1
2044,0.2
2045,0.1
2046,0.2
2047,0.1
2048,0.2
2049,0.2
2050,0.2
2051,0.3
2052,0.3
2053,0.3
2054,0.5
2055,0.5
2056,0.6
2057,0.6
2058,0.7
2059,0.6
2060,1.1
2061,1.1
2062,0.6
2063,1.2
2064,0.7
2065,1.5
2066,1.1
2067,0.8
2068,1.8
2069,1.1
2070,1.3
2071,1.5
2072,1.9
2073,2.1
2074,1.6
2075,2.3
2076,2
2077,1.7
2078,1.9
2079,1.1
2080,2
2081,2.2
2082,2.5
2083,2.6
2084,1.9
2085,2.9
2086,2.6
2087,2.8
2088,2.7
2089,2.5
2090,4.4
2091,3.8
2092,4.1
2093,4.1
2094,3.9
2095,5.2
2096,5
2097,5.5
2098,6.4
2099,5
