year, rcp85_weighted_mean
2005,61
2006,60.9
2007,60.9
2008,61.3
2009,61
2010,61.2
2011,61.5
2012,61.4
2013,61.7
2014,61.6
2015,61.4
2016,61.3
2017,61.6
2018,62
2019,62.3
2020,61.9
2021,61.8
2022,62.1
2023,62.5
2024,62.5
2025,62.1
2026,62.3
2027,61.9
2028,62.4
2029,62.6
2030,62.7
2031,62.5
2032,63.1
2033,62.6
2034,63
2035,63.2
2036,63
2037,63.3
2038,63.3
2039,63.4
2040,63.5
2041,63.3
2042,63.7
2043,63.7
2044,63.9
2045,63.9
2046,64.1
2047,64.3
2048,64.2
2049,64.3
2050,64.8
2051,65
2052,64.8
2053,64.9
2054,65.1
2055,65.5
2056,65.5
2057,65
2058,65.7
2059,65.7
2060,65.9
2061,65.9
2062,66.2
2063,66.4
2064,66.5
2065,66.5
2066,66.7
2067,66.4
2068,67
2069,67
2070,67.1
2071,67.1
2072,66.8
2073,67.3
2074,67.2
2075,67.4
2076,67.4
2077,67.6
2078,67.8
2079,67.7
2080,68
2081,68.1
2082,68.2
2083,68.1
2084,68.2
2085,68.5
2086,68.5
2087,68.7
2088,69
2089,68.7
2090,69.1
2091,69.4
2092,69.5
2093,69.7
2094,69.7
2095,69.7
2096,69.8
2097,70.2
2098,70.2
2099,70.3
