year, rcp85_weighted_mean
2005,80.2
2006,80.2
2007,80.1
2008,80.2
2009,79.7
2010,79.9
2011,80.2
2012,80.4
2013,80.3
2014,80.2
2015,80.2
2016,80.4
2017,80.5
2018,81
2019,81.2
2020,80.6
2021,81
2022,81
2023,81.1
2024,81.1
2025,81.5
2026,81.5
2027,81.3
2028,81.4
2029,81.4
2030,81.5
2031,81.7
2032,81.7
2033,81.9
2034,81.7
2035,82.2
2036,82
2037,82
2038,82.2
2039,82.4
2040,82.4
2041,81.9
2042,82.8
2043,82.6
2044,82.8
2045,82.9
2046,82.7
2047,82.6
2048,82.6
2049,83.4
2050,83.2
2051,83.2
2052,83.2
2053,83.3
2054,83.3
2055,83.3
2056,83.7
2057,83.3
2058,83.7
2059,84.2
2060,84.1
2061,84.3
2062,84.2
2063,84.3
2064,84.4
2065,84.5
2066,84.6
2067,84.3
2068,84.9
2069,85
2070,85.5
2071,85.4
2072,85.6
2073,85.4
2074,85.6
2075,85.8
2076,85.5
2077,85.4
2078,85.8
2079,86.1
2080,85.6
2081,86
2082,86.1
2083,86.3
2084,86.2
2085,86.4
2086,86.5
2087,86.6
2088,86.6
2089,86.6
2090,86.9
2091,86.9
2092,87.2
2093,87.1
2094,87.9
2095,87.3
2096,87.6
2097,87
2098,87.5
2099,87.8
