year, rcp85_weighted_mean
2005,63.6
2006,63.5
2007,63.5
2008,64
2009,63.5
2010,63.8
2011,64.1
2012,64.1
2013,64.3
2014,64.3
2015,64.2
2016,63.9
2017,64.3
2018,64.7
2019,65.3
2020,64.7
2021,64.6
2022,64.9
2023,65.2
2024,65.3
2025,65
2026,65.1
2027,64.7
2028,65.2
2029,65.4
2030,65.5
2031,65.4
2032,65.8
2033,65.5
2034,65.9
2035,65.8
2036,65.8
2037,66.1
2038,66.2
2039,66.2
2040,66.4
2041,66.2
2042,66.9
2043,66.7
2044,66.7
2045,67
2046,67.1
2047,67.1
2048,67.1
2049,67.3
2050,67.7
2051,67.8
2052,67.5
2053,67.8
2054,67.9
2055,68.2
2056,68.3
2057,67.9
2058,68.5
2059,68.7
2060,68.8
2061,68.7
2062,69
2063,69.2
2064,69.3
2065,69.3
2066,69.5
2067,69.1
2068,69.8
2069,69.9
2070,69.9
2071,69.8
2072,69.9
2073,70.3
2074,70.1
2075,70.3
2076,70.2
2077,70.3
2078,70.6
2079,70.8
2080,70.8
2081,71.1
2082,71
2083,70.8
2084,71
2085,71.2
2086,71.3
2087,71.7
2088,71.8
2089,71.5
2090,71.9
2091,72.2
2092,72.2
2093,72.5
2094,72.7
2095,72.5
2096,72.8
2097,72.8
2098,73
2099,73.2
