year, rcp85_weighted_mean
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0.1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0.1
2029,0
2030,0
2031,0
2032,0.2
2033,0.1
2034,0.2
2035,0.2
2036,0
2037,0
2038,0.2
2039,0.3
2040,0.1
2041,0.2
2042,0.2
2043,0.4
2044,0.4
2045,0.3
2046,0.8
2047,0.2
2048,0.7
2049,0.5
2050,0.4
2051,0.8
2052,0.6
2053,0.4
2054,0.7
2055,0.5
2056,2
2057,1.3
2058,0.8
2059,1.3
2060,2.8
2061,1.8
2062,2
2063,1.2
2064,2.3
2065,2.1
2066,2.5
2067,1.3
2068,3.4
2069,2.9
2070,3.9
2071,3.1
2072,3.9
2073,4.7
2074,3.4
2075,5.3
2076,4.8
2077,4.2
2078,4.9
2079,3.4
2080,4.1
2081,5.9
2082,5
2083,7.8
2084,6.3
2085,6.3
2086,7.1
2087,7.6
2088,7.5
2089,7
2090,10.2
2091,7.6
2092,7.1
2093,8.3
2094,11.5
2095,11
2096,11.6
2097,8.4
2098,8.6
2099,10
