year, rcp85_weighted_mean
2005,63
2006,62.8
2007,62.8
2008,63.5
2009,63
2010,63.2
2011,63.5
2012,63.7
2013,63.7
2014,63.7
2015,63.4
2016,63.2
2017,63.6
2018,64.1
2019,64.5
2020,64
2021,63.8
2022,64.1
2023,64.6
2024,64.3
2025,64.3
2026,64.3
2027,64.2
2028,64.5
2029,64.7
2030,64.8
2031,64.9
2032,65.2
2033,65.1
2034,65.3
2035,65.2
2036,65.4
2037,65.3
2038,65.5
2039,65.8
2040,65.8
2041,65.6
2042,66.5
2043,66.3
2044,66.3
2045,66.4
2046,66.6
2047,66.6
2048,66.6
2049,66.9
2050,66.8
2051,67.2
2052,66.9
2053,67.4
2054,67.4
2055,67.4
2056,67.9
2057,67.2
2058,68.1
2059,68.2
2060,68.3
2061,68.1
2062,68.6
2063,68.7
2064,68.7
2065,68.6
2066,69.3
2067,68.4
2068,69.5
2069,69.4
2070,69.7
2071,69.7
2072,69.5
2073,70
2074,69.9
2075,70
2076,70.1
2077,70.2
2078,70.3
2079,70.5
2080,70.5
2081,71
2082,71
2083,70.8
2084,70.9
2085,71.4
2086,71.2
2087,71.6
2088,71.7
2089,71.5
2090,71.9
2091,72
2092,72
2093,72.3
2094,72.6
2095,72.3
2096,72.6
2097,72.6
2098,72.5
2099,72.9
