year, rcp85_weighted_mean
2005,55.5
2006,56.2
2007,55.9
2008,55.6
2009,56.1
2010,55.8
2011,56.1
2012,56.2
2013,56.4
2014,56.6
2015,56.5
2016,56.8
2017,56.9
2018,56.9
2019,56.6
2020,56.9
2021,56.7
2022,56.4
2023,57.3
2024,57.1
2025,57.3
2026,57.3
2027,57.3
2028,57.4
2029,57.5
2030,57.5
2031,57.5
2032,57.2
2033,57.8
2034,57.7
2035,58.1
2036,57.6
2037,57.9
2038,58.2
2039,58.4
2040,58.2
2041,58.3
2042,58.6
2043,58.6
2044,58.2
2045,58.8
2046,58.5
2047,58.8
2048,58.8
2049,59.2
2050,59.4
2051,59.5
2052,59.3
2053,59.8
2054,59.6
2055,59.9
2056,59.9
2057,60.2
2058,60.2
2059,60.3
2060,60.6
2061,60.5
2062,60.5
2063,60.5
2064,60.8
2065,61
2066,61.2
2067,61.3
2068,61.1
2069,61.4
2070,61.4
2071,61.6
2072,61.5
2073,61.9
2074,61.7
2075,61.9
2076,62.4
2077,62.5
2078,62.2
2079,62.4
2080,62.7
2081,62.6
2082,63.1
2083,63
2084,62.8
2085,62.9
2086,63.1
2087,63.4
2088,63.2
2089,63.5
2090,63.6
2091,63.9
2092,63.4
2093,63.8
2094,63.6
2095,63.6
2096,64
2097,64.2
2098,64.1
2099,64.1
