year, rcp85_weighted_mean
2005,0
2006,0.1
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0.1
2013,0
2014,0.1
2015,0
2016,0
2017,0.1
2018,0
2019,0.2
2020,0
2021,0.1
2022,0.1
2023,0.2
2024,0.1
2025,0.1
2026,0.2
2027,0.3
2028,0.2
2029,0.1
2030,0.3
2031,0.3
2032,0.4
2033,0.1
2034,0.4
2035,0.4
2036,0.7
2037,0.1
2038,0.4
2039,0.5
2040,0.7
2041,0.7
2042,0.4
2043,0.5
2044,0.6
2045,0.7
2046,1
2047,0.8
2048,1.2
2049,1.1
2050,0.9
2051,1.2
2052,1.5
2053,1.8
2054,1.6
2055,1.8
2056,1.9
2057,2.1
2058,2.2
2059,1.2
2060,2.6
2061,1.8
2062,2.7
2063,2
2064,2.9
2065,2.7
2066,3.2
2067,3.8
2068,4.7
2069,4.5
2070,3.9
2071,5.3
2072,5.2
2073,5.6
2074,5
2075,7.9
2076,5.5
2077,4.3
2078,5
2079,5.1
2080,5.6
2081,6.6
2082,5.5
2083,8.5
2084,7.6
2085,9.9
2086,9.1
2087,8.4
2088,9.8
2089,9.9
2090,11.7
2091,9.7
2092,10.8
2093,10.8
2094,13.5
2095,11.6
2096,14.1
2097,12.5
2098,11.6
2099,10
