year, rcp85_weighted_mean
2005,60.5
2006,60.5
2007,60.4
2008,61.1
2009,60.6
2010,60.6
2011,61.1
2012,61.4
2013,61.3
2014,61.3
2015,60.9
2016,60.9
2017,61.2
2018,61.7
2019,62.1
2020,61.9
2021,61.6
2022,61.9
2023,62.3
2024,62.3
2025,62.1
2026,62.2
2027,62.2
2028,62.3
2029,62.3
2030,62.8
2031,62.8
2032,62.9
2033,63
2034,63.2
2035,63.3
2036,63.2
2037,63.1
2038,63.5
2039,63.6
2040,63.7
2041,63.5
2042,64.2
2043,64.2
2044,64
2045,64.3
2046,64.3
2047,64.5
2048,64.6
2049,64.9
2050,64.8
2051,65
2052,65
2053,65.3
2054,65.7
2055,65.3
2056,65.8
2057,65.2
2058,66.2
2059,66.1
2060,66.1
2061,65.9
2062,66.6
2063,66.8
2064,66.8
2065,66.5
2066,67.2
2067,66.7
2068,67.4
2069,67.4
2070,67.9
2071,68
2072,67.7
2073,68.1
2074,68
2075,68.2
2076,68.3
2077,68.1
2078,68.7
2079,68.5
2080,68.6
2081,69.1
2082,69.2
2083,69.1
2084,69
2085,69.5
2086,69.3
2087,69.7
2088,69.7
2089,69.6
2090,70
2091,70.1
2092,70.2
2093,70.5
2094,70.8
2095,70.5
2096,70.8
2097,70.8
2098,70.9
2099,70.9
