year, rcp85_weighted_mean
2005,64.1
2006,63.9
2007,63.8
2008,64.6
2009,64
2010,64.2
2011,64.6
2012,64.9
2013,64.7
2014,64.7
2015,64.3
2016,64.3
2017,64.7
2018,65.3
2019,65.6
2020,65.1
2021,65
2022,65.2
2023,65.8
2024,65.4
2025,65.5
2026,65.4
2027,65.4
2028,65.5
2029,65.6
2030,65.9
2031,66
2032,66.3
2033,66.3
2034,66.4
2035,66.4
2036,66.5
2037,66.4
2038,66.7
2039,66.8
2040,66.9
2041,66.7
2042,67.6
2043,67.4
2044,67.4
2045,67.6
2046,67.7
2047,67.6
2048,67.8
2049,68.2
2050,67.9
2051,68.2
2052,68
2053,68.5
2054,68.7
2055,68.4
2056,69
2057,68.3
2058,69.3
2059,69.2
2060,69.3
2061,69.1
2062,69.7
2063,69.7
2064,69.9
2065,69.6
2066,70.3
2067,69.5
2068,70.5
2069,70.5
2070,70.7
2071,70.9
2072,70.7
2073,71.1
2074,71
2075,71
2076,71.2
2077,71.2
2078,71.4
2079,71.5
2080,71.5
2081,72.1
2082,72.1
2083,71.9
2084,71.9
2085,72.4
2086,72.3
2087,72.6
2088,72.7
2089,72.5
2090,73
2091,73.1
2092,73
2093,73.3
2094,73.7
2095,73.3
2096,73.7
2097,73.6
2098,73.6
2099,73.9
