year, rcp85_weighted_mean
2005,0.3
2006,0.2
2007,0.1
2008,0.7
2009,0.3
2010,0
2011,0.1
2012,0.1
2013,0.4
2014,0.3
2015,0.2
2016,0.3
2017,0.1
2018,0.2
2019,0.6
2020,0.2
2021,0.4
2022,0.9
2023,0.4
2024,0.4
2025,0.7
2026,0.5
2027,0.5
2028,0.8
2029,0.4
2030,0.7
2031,0.6
2032,0.7
2033,0.9
2034,0.6
2035,0.8
2036,1
2037,0.9
2038,0.6
2039,0.6
2040,0.7
2041,1.4
2042,1.3
2043,1
2044,1.1
2045,2
2046,2.1
2047,0.6
2048,1.4
2049,2.2
2050,1.7
2051,1.3
2052,1.6
2053,3
2054,2
2055,1.7
2056,2
2057,1.6
2058,1.8
2059,2.7
2060,2.8
2061,4.6
2062,3.3
2063,3.5
2064,5.3
2065,4.8
2066,4.7
2067,5.1
2068,5.4
2069,5.2
2070,6.1
2071,8
2072,9.3
2073,7.3
2074,7.3
2075,6.9
2076,6.5
2077,7.3
2078,5.9
2079,7.5
2080,7.8
2081,11.7
2082,9.4
2083,9.9
2084,9.3
2085,8.9
2086,14.2
2087,12.9
2088,12.5
2089,10
2090,12.7
2091,12.2
2092,16.4
2093,14.5
2094,16.9
2095,15.5
2096,19.4
2097,15.4
2098,15.7
2099,16.3
