year, rcp85_weighted_mean
2005,0
2006,0
2007,0
2008,0
2009,0.1
2010,0.2
2011,0.1
2012,0.1
2013,0
2014,0.1
2015,0
2016,0.1
2017,0
2018,0.1
2019,0.2
2020,0
2021,0.1
2022,0.2
2023,0
2024,0.2
2025,0.1
2026,0.1
2027,0.2
2028,0.2
2029,0.2
2030,0.1
2031,0
2032,0.1
2033,0
2034,0.4
2035,0.6
2036,0.4
2037,0.1
2038,0.2
2039,0.5
2040,0.3
2041,0.5
2042,0.2
2043,0.2
2044,0.4
2045,0.6
2046,0.6
2047,0.5
2048,0.8
2049,0.6
2050,0.5
2051,0.7
2052,0.4
2053,0.8
2054,1.3
2055,1
2056,1.6
2057,1.2
2058,1.4
2059,1.7
2060,2.5
2061,2.3
2062,1.6
2063,1.8
2064,2.1
2065,2.3
2066,1.9
2067,2.2
2068,3.4
2069,2.6
2070,2.7
2071,2.8
2072,4.5
2073,4.5
2074,2.5
2075,3.7
2076,3.5
2077,3
2078,3.9
2079,3.5
2080,3
2081,4.2
2082,4.6
2083,5.4
2084,4
2085,5.2
2086,6.1
2087,4.7
2088,5.7
2089,4.5
2090,7.6
2091,7.5
2092,7
2093,8.2
2094,7
2095,10.6
2096,8.6
2097,9.6
2098,10.3
2099,9.1
